1B,Counter,X Accel,Y Accel,Z Accel,X Gyro,Y Gyro,Z Gyro
27,184,44284,36089,18496,766,13055,63728
27,185,32774,33792,69,23551,27648,34560
27,186,4346,47353,38979,63233,38143,15373
27,187,60661,58618,3134,62977,6654,44841
27,188,35062,36082,6236,32002,46083,20277
27,189,22529,63740,4155,48641,33021,23104
27,190,12292,10492,6212,4611,32255,20009
27,191,58368,41986,63553,32513,65024,25647
27,192,7423,26871,49223,2816,28927,46889
27,193,11513,37117,12358,4865,12544,51506
27,194,53501,51452,58430,29954,15103,34345
27,195,10489,41213,63549,51968,60414,26664
27,196,8193,64765,5182,46081,10496,41255
27,197,57348,55549,37946,26624,9473,21008
27,198,5123,27903,24646,50432,52735,53749
27,199,3073,55551,40008,59391,14847,48114
27,200,3072,52479,45124,42240,30204,45055
27,201,26638,15361,9260,39936,7425,48639
27,202,57345,45311,26692,38912,40191,39167
27,203,7170,41215,42051,43776,41215,41471
27,204,17410,62719,57411,38912,44287,49663
27,205,11266,54527,45123,41728,41983,43007
27,206,10242,34047,2116,35072,37887,47103
27,207,12290,55551,51267,37632,38655,43519
27,208,36866,54527,34883,39424,31743,49151
27,209,31746,47359,52291,41728,38143,42751
27,210,22530,1024,42051,43520,48383,47871
27,211,27650,34047,58435,40960,31743,41983
27,212,39938,64767,35907,38656,47615,44287
27,213,24578,35071,3140,40448,48127,44287
27,214,43010,64767,33859,34048,43263,43007
27,215,27650,61695,48195,35840,41471,46079
27,216,46082,50431,41027,38656,37375,45823
27,217,62465,36095,49219,36864,41983,41215
27,218,8194,23807,35907,38656,47103,47359
27,219,63489,42239,52291,37376,43263,47103
27,220,5122,55551,35907,36096,43775,43263
